OBJECTID,name,year,rate
33,Webster,2013,0.420895522
33,Webster,2014,1.684751773
33,Webster,2015,1.771417883
33,Webster,2016,1.792445631
33,Webster,2017,1.805987116
33,Webster,2018,1.770873046
33,Webster,2019,1.814639906
33,Webster,2020,1.842358604
33,Webster,2021,1.844066424
33,Webster,2022,1.764356436
34,Buchanan,2001,4.240398293
34,Buchanan,2002,3.70411985
34,Buchanan,2003,3.736363636
34,Buchanan,2004,1.82010582
34,Buchanan,2005,1.82642487
34,Buchanan,2006,3.614503817
34,Buchanan,2007,3.442307692
34,Buchanan,2008,3.509225092
34,Buchanan,2009,1.64254386
34,Buchanan,2010,1.684090909
34,Buchanan,2011,1.595041322
34,Buchanan,2012,1.735955056
34,Buchanan,2013,1.718969555
34,Buchanan,2014,3.215819209
34,Buchanan,2015,3.57125
34,Buchanan,2016,3.2265625
34,Buchanan,2017,3.186753529
34,Buchanan,2018,3.103773585
34,Buchanan,2019,3.158179848
34,Buchanan,2020,2.946083418
34,Buchanan,2021,3.547215496
34,Buchanan,2022,3.283599089
35,Black Hawk,2001,2.633348547
35,Black Hawk,2002,2.544667742
35,Black Hawk,2003,2.453094094
35,Black Hawk,2004,0.214791632
35,Black Hawk,2005,0.234729494
35,Black Hawk,2006,2.654518072
35,Black Hawk,2007,2.665713426
35,Black Hawk,2008,2.497523702
35,Black Hawk,2009,0.166220915
35,Black Hawk,2010,0.141912277
35,Black Hawk,2011,0.138417431
35,Black Hawk,2012,0.137663489
35,Black Hawk,2013,0.133780405
35,Black Hawk,2014,1.966529015
35,Black Hawk,2015,1.99094423
35,Black Hawk,2016,2.016196153
35,Black Hawk,2017,2.389355742
35,Black Hawk,2018,2.073881374
35,Black Hawk,2019,1.961563447
35,Black Hawk,2020,1.89685814
35,Black Hawk,2021,1.925953628
35,Black Hawk,2022,1.870219436
36,Woodbury,2001,3.255357143
36,Woodbury,2002,2.997672872
36,Woodbury,2003,2.506567123
36,Woodbury,2004,0.403946002
36,Woodbury,2005,0.350109692
36,Woodbury,2006,2.535383319
36,Woodbury,2007,2.263730701
36,Woodbury,2008,2.29451617
36,Woodbury,2009,0.286744315
36,Woodbury,2010,0.29224763
36,Woodbury,2011,0.284018466
36,Woodbury,2012,0.242311376
36,Woodbury,2013,0.220614263
36,Woodbury,2014,1.710095498
36,Woodbury,2015,1.68073705
36,Woodbury,2016,1.792039401
36,Woodbury,2017,1.924794994
36,Woodbury,2018,1.822610108
36,Woodbury,2019,1.872547016
36,Woodbury,2020,1.624796821
36,Woodbury,2021,1.726951708
36,Woodbury,2022,1.663959391
37,Ida,2001,3.884297521
37,Ida,2002,3.324705882
37,Ida,2003,3.131455399
37,Ida,2004,3.35078534
37,Ida,2005,3.195372751
37,Ida,2006,3.15920398
37,Ida,2007,3.128140704
37,Ida,2008,3.385245902
37,Ida,2009,3.07310705
37,Ida,2010,3.134366925
37,Ida,2011,2.806146572
37,Ida,2012,3
37,Ida,2013,2.529832936
37,Ida,2014,2.747222222
37,Ida,2015,2.58961039
37,Ida,2016,2.729508197
37,Ida,2017,2.715846995
37,Ida,2018,2.253706755
37,Ida,2019,2.242326333
37,Ida,2020,2.1561051
37,Ida,2021,2.393356643
37,Ida,2022,2.365051903
38,Sac,2001,3.407407407
38,Sac,2002,3.092675635
38,Sac,2003,3.179321486
38,Sac,2004,3.121212121
38,Sac,2005,2.791793313
38,Sac,2006,2.881863561
38,Sac,2007,2.769110764
38,Sac,2008,2.766773163
38,Sac,2009,2.667697063
38,Sac,2010,2.508928571
38,Sac,2011,2.396870555
38,Sac,2012,0.969738652
38,Sac,2013,2.296191819
38,Sac,2014,2.301994302
38,Sac,2015,2.259776536
38,Sac,2016,2.458990536
38,Sac,2017,2.344410876
38,Sac,2018,2.146690519
38,Sac,2019,2
38,Sac,2020,1.917398946
38,Sac,2021,2.231707317
38,Sac,2022,2.254132231
39,Calhoun,2001,3.904273504
39,Calhoun,2002,3.393518519
39,Calhoun,2003,3.415730337
39,Calhoun,2004,3.303599374
39,Calhoun,2005,3.406040268
39,Calhoun,2006,3.285950413
39,Calhoun,2007,3.469642857
39,Calhoun,2008,3.341880342
39,Calhoun,2009,3.03348554
39,Calhoun,2010,2.913616398
